2020-06-09 17:18:14	us6000a8nh	Iran	2	53.4201	27.7199	10	5.7	53.406	27.688	3.62	108	57	99	0.345	15.32	4	5.83	53.414	27.688	3.54	288	33	82	1.66	15.77	0.76	5.82
2020-06-14 14:24:29	us6000abnv	Turkey	2	40.7073	39.4229	10	5.9	40.75	39.391	4.93	259	82	-190	0.669	6.75	6.87	5.94	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-06-23 15:29:04	us6000ah9t	Mexico	3	-96.0077	15.8861	20	7.4	-96.11	15.886	19.1	280	18	74	1.424	40.61	33.1	7.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-06-24 17:40:49	ci39493944	CaliforniaUSA	2	-117.9752	36.44683	4.66	5.8	-117.933	36.478	13.19	348	33	-83	0.362	15.88	5.01	5.92	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-06-25 21:05:18	us7000abmk	China	3	82.4158	35.5948	10	6.3	82.425	35.617	6.04	184	54	-79	0.595	13.97	7.82	6.16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-07-08 05:18:59	us7000ajv8	Poland	2	16.2485	51.5656	5	5	16.15	51.541	1.24	109	39	128	1.029	0.15	1.78	4.58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-07-22 20:07:19	us6000b26j	China	3	86.8637	33.1438	10	6.3	86.878	33.18	7.08	204	41	-75	2.697	11.96	3	6.27	86.887	33.179	7.17	33	47	-107	1.335	12.33	6.35	6.3
2020-08-04 09:37:37	us6000b930	Turkey	2	38.698	38.1878	10	5.6	38.777	38.192	3.21	234	77	-176	0.256	7.55	5.01	5.61	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-08-09 12:07:37	se60324281	NorthCarolinaUSA	1	-81.0865	36.4743	4.14	5.1	-81.087	36.495	3.04	325	70	108	2.59	0.362	2.85	5.23	-81.092	36.489	2.21	151	15	93	1.06	0.762	3.06	5.21
2020-08-12 22:40:45	us6000bdq8	Pakistan	2	65.9578	28.0443	13.98	5.6	65.963	28	6.54	190	81	4	0.147	7.05	13.01	5.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-08-18 00:03:48	us6000bgbr	Philippines	2	124.1272	12.0257	10	6.6	124.093	11.977	6.92	334	61	0	4.54	16.49	9.31	6.84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-10-20 13:43:17	us6000ca0k	Iceland	2	-22.1508	64.0134	10	5.6	-22.203	63.941	3.71	268	48	-8	0.076	19.85	7.29	5.64	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-10-30 11:51:27	us7000c7y0	Greece	2	26.7838	37.8973	21	7	26.782	37.912	7.92	89	42	-121	2.714	13.76	12.7	6.73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-11-29 16:40:43	us7000ckx5	Argentina	2	-65.0281	-23.2591	8	5.8	-65.148	-23.317	5.33	250	68	-145	4.55	4.16	0.85	5.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2020-12-02 10:54:57	us7000cm2t	Greece	2	23.458	38.3488	10	4.5	23.437	38.306	1.02	255	17	-118	0.494	0.83	1.06	4.71	23.437	38.301	1.05	114	50	-75	0.262	1.51	1.03	4.69
2020-12-29 11:19:54	us6000d3zh	Croatia	3	16.2573	45.4244	10	6.4	16.222	45.424	4.07	130	82	175	2.495	9.61	5.07	6.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-01-11 21:32:59	us6000d7ix	Mongolia	2	100.4383	51.2811	10	6.7	100.203	51.41	22.95	229	53	-84	2.163	5.02	29.97	6.62	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-01-15 21:31:04	us7000d0gn	Iran	2	55.1967	26.9417	8	5.5	55.315	26.842	4.8	283	22	92	0.166	13.78	5.42	5.68	55.304	26.835	4.8	85	56	99	0.619	18.25	1.05	5.67
2021-01-31 19:05:14	us6000ddge	Guyana	2	-59.5879	2.6675	5.21	5.5	-59.507	2.702	3.93	114	37	71	0.902	5.08	1.5	5.51	59.524	2.704	2.11	338	39	127	0.28	3.11	4.42	5.34
2021-02-17 18:35:35	us6000difx	Iran	1	51.3651	30.839	7	5.4	51.495	30.871	6.58	338	68	136	0.206	5.12	6.71	5.52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-02-24 10:05:59	us6000dkmk	Iceland	2	-22.2851	63.949	10	5.6	-22.231	63.892	2.61	81	76	0	1.567	10.11	1.68	5.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-03-03 10:16:09	us7000df40	Greece	1	22.1757	39.7546	8	6.3	22.172	39.686	4.53	310	36	-104	0.806	11.35	9.77	6.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-03-04 18:38:19	us7000dfku	Greece	1	22.1157	39.7865	10	5.8	22.058	39.772	6.18	302	41	-83	2.691	9.24	1.12	5.91	22.06	39.771	6.06	121	50	-88	5.06	9.25	0.57	5.9
2021-03-12 12:57:50	us7000dimf	Greece	2	22.0875	39.8931	7	5.6	21.99	39.808	4.24	105	44	-93	0.269	4.43	6.59	5.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-03-19 06:11:27	us7000dkv0	China	2	92.9151	31.9246	8	5.7	92.866	31.92	8.03	334	58	-154	1.199	2.12	5.83	5.73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-03-23 21:14:18	us6000dvwp	China	1	81.1623	41.8177	10	5.3	81.077	41.777	0.05	236	30	123	0.154	8.58	3.04	5.35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-03-29 17:27:23	us6000dxge	China	2	87.6921	34.3549	8	5.5	87.715	34.371	5.22	30	40	-66	0.321	5.63	5.67	5.62	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-04-06 15:12:25	us6000dzgg	Iran	2	45.9925	35.6618	10	5.2	46.014	35.69	6.1	307	23	-142	0.097	6.44	10.32	5.49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-04-18 06:41:49	us6000e2k3	Iran	1	50.6784	29.7531	8	5.8	50.654	29.778	4.56	306	19	83	0.598	9.92	6.21	5.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-05-17 00:54:01	us7000e3n6	Iran	2	56.7058	37.3349	7	5.4	56.66	37.259	3.92	307	63	95	0.228	12.47	2.06	5.46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-05-21 13:48:37	us7000e532	China	2	100.0082	25.7274	9	6.1	99.93	25.633	7.28	140	78	-171	0.31	14.16	12.34	6.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-05-21 18:04:13	us7000e54r	China	4	98.2513	34.5983	10	7.3	98.413	34.595	3.2	106	71	-8	0.92	133.66	5.63	6.84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-06-05 17:55:58	ci39919392	CaliforniaUSA	1	-115.6348	33.14	5.78	5.25	-115.621	33.126	1.76	55	92	23	3.91	3.33	0.26	5.26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-06-16 08:48:58	us7000edh9	China	3	93.7234	38.2061	10	5.5	93.878	38.1756	11.07	266	39	116	0.0685	19.6	12.5	5.77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-07-08 22:49:48	nc73584926	CaliforniaUSA	3	-119.4998	38.5075	7.45	6	-119.4748	38.5017	8.15	358	40	-105	0.253	14.4	9.8	5.98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-07-10 02:14:42	us6000etys	Tajikistan	2	70.5612	38.9152	11.75	5.7	70.58	38.986	4.55	198	47	40	0.432	10.69	5.09	5.86	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-07-31 04:33:02	us6000f0vx	Peru	1	-80.7928	-5.0645	35	4.3	-80.8438	-4.954	1.56	78	26	90	0.093	2.41	2.33	4.76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-08-14 12:29:08	us6000f65h	Haiti	2	-73.4822	18.4335	10	7.2	-73.603	18.478	12.05	266	33	60	1.213	31.04	18.19	6.84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-08-31 17:21:09	us7000f6a0	NevadaUSA	2	-114.974	40.8826	7.48	4.7	-114.99	40.9	2.91	188	58	-106	0.033	4.06	3.18	4.7	-114.988	40.895	2.65	18	31	-91	0.122	3.62	0.86	4.67
2021-09-08 01:47:47	us7000f93v	Mexico	2	-99.753	16.9465	20	7	-99.8495	16.8578	21.2	287	20	87	1.44	21.3	25.9	6.93	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-09-15 20:33:31	us7000fbky	China	2	105.365	29.1944	7.12	5.4	105.335	29.193	4.08	143	36	80	0.158	5.52	4.56	5.35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-09-27 06:17:21	us7000fes8	Greece	2	25.2697	35.244	6	6	25.282	35.155	5.7	212	51	-105	1.05	5.11	5.73	5.94	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-10-06 22:01:08	us6000fsg9	Pakistan	2	67.9948	30.1933	9	5.9	67.984	30.109	9.59	322	20	133	0.524	12.86	12.79	6.24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-10-09 04:47:49	us6000ft6j	Peru	2	-71.8421	-15.5828	14.16	5.7	-71.891	-15.668	1.5	119	25	-97	0.217	8.21	2.18	5.34	-71.883	-15.66	1.4	301	39	-100	0.131	9.96	3.43	5.38
2021-10-13 07:55:29	us6000fu6b	Argentina	2	-72.25	-50.3221	10	5.4	-72.4985	-50.3413	4.25	1	30	95	0.524	14.42	1.09	5.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021-11-14 12:08:38	us7000fu12	Iran	2	56.0716	27.7266	10	6.4	27.641	56.219	6.59	79	15	80	2.273	12.97	4.56	6.37	56.221	27.642	8.91	265	78	97	3.559	8.15	5.58	6.42
2021-12-19 21:06:15	us6000gdng	Laos	2	101.3109	19.5613	10	5.5	101.386	19.517	2.02	334	81	-186	1.418	5	0.65	5.39	101.385	19.506	4.07	64	82	3	0.559	3.99	4.87	5.64
2022-01-07 17:45:30	us7000g9zq	China	2	101.29	37.8283	13	6.6	101.267	37.782	4.28	110	88	-5	3.211	21.15	5.26	6.65	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-01-23 02:21:19	us7000gebb	China	1	97.3425	38.4613	10	5.6	97.34	38.461	5.59	168	65	-183	0.218	5.95	6.05	5.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-01-24 21:24:48	us7000gep9	Australia	1	117.0973	-33.3452	7.41	4.9	116.99	-33.3624	1.18	31	30	133	0.27	2.27	0.36	4.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-03-16 06:06:35	us6000h4z7	Peru	2	-71.9595	-15.6884	10.74	5.5	-71.805	-15.648	3.33	196	81	181	0.185	7.24	4.94	5.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-03-22 17:41:38	us6000h6nr	Taiwan	1	121.5624	23.4117	24	6.7	121.454	23.413	18.4	200	39	100	2.772	11.37	5.02	6.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-03-25 16:21:04	us7000gx8m	China	2	97.2948	38.5457	10	5.7	97.342	38.496	5.96	177	88	-166	0.322	6.01	6.88	5.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-04-07 16:58:46	us7000h0gw	Poland	2	16.077	51.499	3	4.7	16.081	51.487	1.01	157	63	-93	2.57	0.26	0.45	4.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-04-09 14:02:15	us7000h0wh	Turkey	2	38.6379	38.0982	10	5.3	38.662	38.14	2.94	248	90	-4	0.093	9.69	4.81	5.37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-06-21 20:54:36	us7000hj3u	Afghanistan	2	69.483	33.055	10	6	69.455	32.992	3.13	213	72	11	2.284	6.91	3.55	6.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-06-21 21:09:37	us7000hj3x	Iran	2	53.284	27.236	10	5.4	53.265	27.145	1.19	101	26	86	0.161	18.31	1.68	5.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-06-25 03:37:14	us7000hk3w	Iran	1	54.268	26.734	12	5.6	54.292	26.665	8.56	107	31	51	0.13	19.93	5.68	5.73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-07-21 17:07:25	us7000hsg4	Myanmar	2	99.883	21.151	5	5.9	99.901	21.148	5.41	78	74	-13	0.85	5.17	6.08	5.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-07-25 13:33:28	us7000htbb	Ecuador	2	-77.83	0.678	3	5.7	-77.877	0.699	1.72	263	88	188	0.361	11.46	2.07	5.57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022-07-27 00:43:28	us6000i5rd	Philippines	1	120.81	17.545	46	7	120.743	17.429	19.02	356	35	36	1.039	50.1	16.71	6.91	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
